Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,88_128,WW,2000_2010,1.1084556,0.4849512,-0.6653225,-0.0552888,65.362722,25.11963636,5492.161333,8893.3,1.45,0.5
short,88_131,WW,2000_2010,1.6521253,0.7859605,-0.8316192,-0.0553437,81.339334,27.85972727,5568.091849,9567.05,2.27,0.81
short,70_62,WW,2000_2010,0.6541435,0.4167166,-0.1271854,-0.0527919,47.180131,36.44336364,3638.767885,10246.82,0.65,0.43
short,78_160,WW,2000_2010,1.0523145,0.5618551,-0.4469362,-0.057489,57.321643,36.08481818,5338.756807,9080.35,1.2,0.58
short,49_149,WW,2000_2010,0.7588668,0.3565059,9.02E-03,-0.0583034,60.298786,63.94245455,8298.897896,4747.1,0.6,0.37
short,130_152,WW,2000_2010,1.1869902,0.2734397,-0.1259067,-0.0499186,34.316126,38.70954545,5529.532756,10351.87,1.2,0.28
short,113_99,WW,2000_2010,0.7131966,0.3888621,0.228282,-0.0540173,31.49834,51.90845455,5118.346417,10208.55,0.6,0.4
short,75_157,WW,2000_2010,1.2334974,0.7544707,-0.7317427,-0.056805,71.966276,35.78609091,5996.926061,9129.93,1.65,0.78
short,71_86,WW,2000_2010,0.8074701,0.3868053,-0.4475987,-0.0560432,47.536815,50.66818182,5074.141245,9675.62,0.98,0.4
short,52_64,WW,2000_2010,0.8250294,0.4147064,-0.305977,-0.055328,79.462065,11.02981818,6192.327972,9736.8,0.87,0.43
short,67_157,WW,2000_2010,0.9988157,0.4829472,-0.6676423,-0.0574676,75.656091,26.66081818,6793.539995,8518.69,1.25,0.5
short,99_99,WW,2000_2010,1.0383092,0.4868637,-0.8280497,-0.0523913,34.24885,69.41754545,3290.703131,8232.06,1.45,0.5
short,97_106,WW,2000_2010,0.7146201,0.2620141,-0.174281,-0.0557536,40.895072,39.75709091,4693.055735,9464.13,0.75,0.27
short,86_79,WW,2000_2010,0.8796877,0.5612984,-0.7294574,-0.0555582,56.456264,55.92927273,4679.417873,8387.93,1.16,0.58
short,116_57,WW,2000_2010,0.8473663,0.3882264,-0.6597155,-0.0539693,31.290116,69.26909091,3758.237943,9398.73,1.16,0.4
short,74_48,WW,2000_2010,1.5373865,1.0339301,-1.1039617,-0.0546298,45.776232,100.5238182,5269.483389,8979.78,2.72,1.07
short,51_157,WW,2000_2010,0.8518011,0.4151714,-0.1332122,-0.0563825,62.485246,25.11263636,6277.548752,8174.82,0.75,0.43
short,163_142,WW,2000_2010,1.7319169,0.3827416,-0.6694744,-0.0429905,44.326136,75.92854545,3360.900146,8086.74,2.18,0.39
short,86_108,WW,2000_2010,0.7804981,0.3877934,-0.9519852,-0.0549183,21.388283,82.17790909,3427.468472,8127.04,1,0.4
short,94_108,WW,2000_2010,0.8700692,0.3593015,-0.4958902,-0.0555009,41.324461,48.30836364,4680.695379,9667.37,1,0.37
short,95_95,WW,2000_2010,0.7728377,0.3595897,-0.30964,-0.0538467,26.878566,62.31536364,3693.519642,9308.79,0.87,0.37
short,52_159,WW,2000_2010,0.9367756,0.4550679,-0.0897914,-0.055416,53.575239,27.31863636,6597.301106,9675.42,0.75,0.47
short,171_142,WW,2000_2010,1.7572601,0.3836933,-0.641732,-0.0390415,53.114234,97.62881818,2308.603554,5074.66,2.18,0.39
short,93_121,WW,2000_2010,1.151997,0.4862657,-0.61965,-0.0536607,50.702577,45.09545455,4633.44555,9481.82,1.45,0.5
short,76_159,WW,2000_2010,1.4030346,0.8042408,-0.6903043,-0.059108,85.519051,28.74672727,6079.422017,8960.95,1.81,0.83
short,155_142,WW,2000_2010,1.6879161,0.3822739,-0.7724452,-0.0451706,47.186843,75.43609091,3574.049482,8029.45,2.18,0.39
short,47_170,WW,2000_2010,0.8923312,0.4541744,-0.0371611,-0.0562786,46.049326,43.34981818,6345.482034,9608.78,0.75,0.47
short,147_142,WW,2000_2010,1.8090995,0.420612,-0.5555032,-0.0478931,45.526372,42.82209091,4192.867691,9610.19,2.18,0.43
short,64_159,WW,2000_2010,0.8541293,0.3582208,-0.3340349,-0.0570653,45.335805,49.52827273,4289.186796,9860.64,1,0.37
short,81_121,WW,2000_2010,0.9500516,0.4832542,-1.0713092,-0.0553807,28.543973,87.03736364,4917.915392,7788.63,1.45,0.5
short,58_147,WW,2000_2010,0.7097709,0.3477878,-0.1136284,-0.0563783,45.66239,42.37818182,4764.044156,10357.14,0.74,0.36
short,122_73,WW,2000_2010,1.1275307,0.4865142,-0.5574011,-0.0524801,31.896887,68.398,4636.437218,10332.45,1.45,0.5
