Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,106_132,Maize,2000_2010,1.0314427,0.3691152,-0.2712847,-0.0542569,48.669416,32.365,7547.852554,12197.82727,1,0.38
short,60_107,Maize,2000_2010,0.8678165,0.4529158,-0.605381,-0.0574431,73.714219,78.11036364,8874.939065,10257.7,0.98,0.47
short,160_135,Maize,2000_2010,1.8181178,0.3826051,-0.6967757,-0.0440639,49.048215,85.40018182,4026.018127,10051.04545,2.18,0.39
short,72_94,Maize,2000_2010,0.9391879,0.4145426,-0.3788116,-0.0569193,43.812903,87.83627273,8296.970751,11747.62727,0.98,0.43
short,72_107,Maize,2000_2010,0.8796211,0.4150418,0.3845887,-0.0560143,40.982422,77.77127273,9591.619637,11549.36364,0.65,0.43
short,137_102,Maize,2000_2010,0.8229604,0.3042836,-0.4794263,-0.0427053,15.587636,99.07136364,3809.033521,9422.363636,0.7,0.31
short,156_135,Maize,2000_2010,1.8121311,0.7537959,-0.5860938,-0.0471199,48.497242,14.00427273,4177.202441,10365.51818,2.18,0.77
short,56_107,Maize,2000_2010,1.0154326,0.3570816,-0.3556624,-0.0569219,62.459306,45.75754545,9619.84385,11314.42727,1,0.37
short,90_156,Maize,2000_2010,1.5155113,0.4877834,-0.1861816,-0.0502225,46.133517,31.64136364,7752.879248,13006.09091,1.45,0.5
short,113_102,Maize,2000_2010,1.0456722,0.3790812,0.0157827,-0.0538688,37.097729,62.25381818,7473.533502,11112.24545,0.86,0.39
short,101_102,Maize,2000_2010,1.1274373,0.3492751,-0.3002157,-0.0548615,40.18731,72.62254545,7211.642898,11526.28182,1.2,0.36
short,144_135,Maize,2000_2010,1.8879129,0.3825931,-0.5309418,-0.0437019,29.97643,83.26363636,4139.714901,11380.57273,2.18,0.39
short,78_119,Maize,2000_2010,0.9034669,0.3668106,-0.0198888,-0.0565282,39.17694,74.62136364,8507.833835,11867.86364,0.86,0.38
short,149_102,Maize,2000_2010,1.7193322,0.3810045,-0.7780215,-0.0493357,43.439023,88.50518182,4625.514608,10571.3,2.18,0.39
short,88_148,Maize,2000_2010,1.0637204,0.2811169,-0.2458997,-0.0562232,42.178787,53.384,8056.152117,12958.87273,0.99,0.29
short,66_60,Maize,2000_2010,0.9533517,0.4163358,0.0632343,-0.0548934,58.943376,4.037636364,9208.074215,13628.53636,0.87,0.43
short,79_80,Maize,2000_2010,0.9895744,0.3577046,-0.0350692,-0.0550683,37.368603,85.11381818,7971.817205,11907.73636,0.98,0.37
short,47_150,Maize,2000_2010,0.8756359,0.3850628,-0.1990559,-0.0571117,55.692001,103.0457273,9838.286744,10339.36364,0.83,0.4
short,181_133,Maize,2000_2010,1.9846897,0.5914091,-0.3012928,-0.0351438,49.405092,82.25418182,2811.059934,7209.954545,2.18,0.6
short,93_101,Maize,2000_2010,1.3291319,0.4764489,0.0510598,-0.0543369,38.47235,58.80327273,8048.609326,11483.01818,1.16,0.49
short,55_150,Maize,2000_2010,0.7253236,0.3943794,-0.5137137,-0.0564089,73.639304,62.92945455,7672.883612,10452.91818,0.83,0.41
short,126_79,Maize,2000_2010,1.1388367,0.3605684,0.1146873,-0.0511144,37.673811,55.183,6855.236335,10769.78182,1,0.37
short,94_128,Maize,2000_2010,1.1354256,0.3884959,-0.196018,-0.0544473,50.567109,13.375,7849.469632,12798.20909,1,0.4
short,44_66,Maize,2000_2010,0.7720993,0.3850932,0.1429641,-0.0554337,71.725711,0,8076.650063,11231.92727,0.65,0.4
short,67_84,Maize,2000_2010,0.7890709,0.3860247,-0.0701554,-0.0558601,44.657772,68.58145455,7681.56918,11942.59091,0.65,0.4
short,71_150,Maize,2000_2010,0.781772,0.2612108,-0.1507734,-0.0560523,42.406511,61.90836364,8563.750273,12422.86364,0.7,0.27
short,139_99,Maize,2000_2010,1.7924992,0.3809477,-0.6526033,-0.0492898,31.900052,97.70218182,7054.095744,9633.872727,2.18,0.39
short,86_128,Maize,2000_2010,1.1078792,0.3976756,-0.2363881,-0.0554172,48.459926,24.807,8118.937685,13004.95455,1.04,0.41
short,86_131,Maize,2000_2010,2.183092,0.3684125,-0.8416108,-0.055717,76.703707,36.86509091,8521.254934,11717.20909,2.94,0.38
short,139_80,Maize,2000_2010,1.2063365,0.3610423,0.1200863,-0.0498229,36.549187,69.41063636,6958.037361,10403.67273,1.07,0.37
short,94_131,Maize,2000_2010,1.0356921,0.3688886,-0.179542,-0.0553406,49.72609,11.86127273,7762.317795,13136.29091,0.86,0.38
short,105_82,Maize,2000_2010,1.0251948,0.3884096,0.2797469,-0.0549586,36.860279,71.20681818,7936.638664,10152.53636,0.83,0.4
short,76_160,Maize,2000_2010,1.4367211,0.8334692,-0.8598892,-0.0580566,89.791152,54.11154545,8002.794337,9511.090909,1.96,0.86
short,62_53,Maize,2000_2010,1.0304472,0.5791029,-0.6305835,-0.0544868,56.520227,55.38854545,9720.669016,12653.73636,1.39,0.6
short,55_149,Maize,2000_2010,0.8584592,0.3854746,-0.5605954,-0.056366,61.130989,72.84927273,8165.205512,11773.4,0.98,0.4
short,93_118,Maize,2000_2010,1.1595185,0.3885638,-0.068407,-0.0546761,36.946246,71.09572727,7946.437975,11437.06364,1.07,0.4
short,81_118,Maize,2000_2010,0.8249437,0.3572191,-0.169526,-0.0561886,33.940091,85.04018182,7676.297815,11282.30909,0.74,0.37
short,64_160,Maize,2000_2010,1.0638316,0.3576361,-0.2288024,-0.0572167,39.256736,73.05145455,8567.851925,11707.79091,1,0.37
short,47_149,Maize,2000_2010,0.7457593,0.3853691,0.1217293,-0.0573766,55.830855,90.65618182,9688.918915,10522.58182,0.6,0.4
short,91_86,Maize,2000_2010,1.0269419,0.3587073,-0.1097549,-0.0549675,55.530573,50.75009091,7745.975976,10416.3,1,0.37
short,69_157,Maize,2000_2010,0.9158646,0.3669858,-0.4508376,-0.0573966,69.517039,38.24354545,8233.627275,10387.14545,1,0.38
short,79_99,Maize,2000_2010,0.7977458,0.4157007,0.0181288,-0.0570558,45.311992,75.47827273,7654.139627,10682.55455,0.65,0.43
short,66_79,Maize,2000_2010,1.6437921,0.6221617,-0.2702036,-0.0553797,39.431743,43.65963636,8279.923364,15141.96364,1.61,0.64
short,99_106,Maize,2000_2010,1.0506474,0.3881546,-0.0988032,-0.0554057,45.891465,50.01636364,7401.919303,11809.95455,1,0.4
short,86_81,Maize,2000_2010,1.000021,0.3784664,-7.52E-05,-0.0542147,52.332813,54.58336364,7703.08779,10382.89091,0.87,0.39
short,165_114,Maize,2000_2010,1.7442028,0.3822514,-0.6958643,-0.0453365,34.167233,97.63709091,3859.963355,8659.127273,2.18,0.39
short,57_52,Maize,2000_2010,0.7709538,0.3560381,-0.6219827,-0.0550957,76.991119,78.37345455,8634.851372,9580.181818,1,0.37
short,132_123,Maize,2000_2010,0.5147402,0.2051781,-0.1207768,-0.0491328,24.09487,60.244,3672.554463,10752.34545,0.4,0.21
short,116_123,Maize,2000_2010,1.1956288,0.360204,0.0332819,-0.0530438,34.88037,47.42954545,7762.906586,12157.92727,1,0.37
short,113_61,Maize,2000_2010,1.1017347,0.3590912,-7.74E-03,-0.0541306,38.53143,77.60372727,7808.328961,9878.627273,1,0.37
short,104_123,Maize,2000_2010,1.2007929,0.4179334,-0.1493632,-0.0540421,46.604172,38.79727273,7655.694179,12373.27273,1.16,0.43
short,141_114,Maize,2000_2010,4.0676381,0.7924665,-0.8247404,-0.0475063,42.861178,94.83663636,4917.849475,10877.71818,5.27,0.81
short,41_126,Maize,2000_2010,1.0157982,0.4148305,-0.4426882,-0.0565095,65.531399,61.36727273,9779.149489,11863,1,0.43
